Match Index,0-60 mph,EPA mileage (combined),Torque,Price,Arbitrary Score,Make,Model,Year,Ranking,Engine Type
313,0.39968652,0.06779661,0.244274809,0.084527564,-0.689818655,Chevrolet,Traverse,2018,912,Gas
315,0.553291536,0.104195007,0.279898219,0.04418912,-0.690856313,Chevrolet,Volt,2018,913,Gas
737,0.579153605,0.144067797,0.31043257,0.069124856,-0.692170673,Jaguar,F-PACE,2017,914,Gas
875,0.495297806,0.076271186,0.169211196,0.024935735,-0.692313797,Volkswagen,Tiguan Limited,2017,915,Gas
396,0.44984326,0.101694915,0.248091603,0.086504938,-0.692529924,Jaguar,E-PACE,2018,916,Gas
553,0.61677116,0.177966102,0.036895674,0.007586874,-0.693095838,Toyota,Yaris,2018,917,Gas
88,0.535266458,0.118644068,0.122137405,0.025216731,-0.69333023,Ford,Escape,2019,918,Gas
223,0.340125392,0.084745763,0.319338422,0.14676283,-0.693726391,Audi,A8 L,2018,919,Gas
586,0.340125392,0.084745763,0.319338422,0.14676283,-0.693726391,Audi,A8 L,2017,920,Gas
1201,0.522727273,0.076271186,0.217557252,0.023682704,-0.693814551,Toyota,Sienna,2016,921,Gas
755,0.582288401,0.152542373,0.062340967,0.012311759,-0.693855753,Kia,Rio 5-door,2017,922,Gas
995,0.599529781,0.161016949,0.048346056,0.00678968,-0.694821378,Ford,Fiesta,2016,923,Gas
401,0.337774295,0.06779661,0.328244275,0.138020752,-0.695997492,Jaguar,XJ,2018,924,Gas
160,0.349529781,0.104195007,0.375318066,0.171219832,-0.696035801,Mercedes-Benz,S Class,2019,925,Gas
946,0.504702194,0.084745763,0.148854962,0.022941709,-0.698078975,Chevrolet,Colorado,2016,926,Gas
85,0.526645768,0.104195007,0.148587786,0.02653845,-0.698272526,FIAT,500X,2019,927,Gas
317,0.48354232,0.084745763,0.239185751,0.056313549,-0.698915797,Chrysler,Pacifica,2018,928,Gas
742,0.486677116,0.093220339,0.123409669,0.032585053,-0.700623758,Jeep,Cherokee,2017,929,Gas
589,0.474137931,0.084745763,0.234096692,0.060174633,-0.700640415,Audi,Q5,2017,930,Gas
397,0.579153605,0.144067797,0.31043257,0.071362411,-0.701120895,Jaguar,F-PACE,2018,931,Gas
222,0.373040752,0.104195007,0.319338422,0.14676283,-0.701209379,Audi,A8,2018,932,Gas
303,0.547021944,0.118644068,0.164122137,0.031866954,-0.701457362,Chevrolet,Equinox,2018,933,Gas
436,0.457680251,0.101694915,0.234096692,0.081405393,-0.701800636,Lexus,GS,2018,934,Gas
681,0.522727273,0.118644068,0.131043257,0.035925776,-0.702182187,Ford,Escape,2017,935,Gas
802,0.603448276,0.169491525,0.111959288,0.029057,-0.70269069,MINI,Convertible,2017,936,Gas
